1 famiglia tintura per unito	100/188	2,63	189/399	1,4	400/599	1,26	600/799	1,13	999999999999	0,92		0	
secret solido	0/100	3,1	101/250	2,58	251/400	2,19	401/499	1,93	500/99999	1,29		0	Novaresin
secret b.co+ pulipel+eurofoniss	51/99	4,88	100/199	4,32	200/9999	2,92		0		0		0	Novaresin
secret bianco	51/99	3,36	100/199	2,8	200	1,4		0		0		0	Novaresin
secret bianco x hot stone	51/99	3,48	100/199	2,9	200	1,45		0		0		0	Novaresin
secret solido x lace washed	0/100	4,2	101/250	3,5	251/400	2,97	401/499	2,62	500/9999	1,75		0	Novaresin
secret+ pulipel+eurofoniss	51/99	3,75	100/199	3,38	200/9999	2,45		0		0		0	Novaresin
secre biface x jimix	51/99	3,14	100/199	2,62	200/9999	1,31		0		0		0	Novaresin
secre biface +pulipel+eurofiniss	51/99	4,76	100/199	4,22	200/9999	2,87		0		0		0	Novaresin
secret	51/99	2,23	100/199	1,86	200/9999	0,93		0		0		0	Novaresin
secret x white ocean/sand bay	51/99	2,11	100/199	1,76	200/9999	0,88		0		0		0	Novaresin
secret x tattoo/gotan beach	51/99	2,28	100/199	1,9	200/9999	0,95		0		0		0	Novaresin
secret x blue sand	0/100	2,52	101/250	2,1	251/400	1,78	401/499	1,57	500/9999	1,05		0	Novaresin
plissè dis. 8604 onda	0/30	5,5	31/100	2,75	101/500	1,95	501/1000	1,85	1001/3000	1,75	>3000	1,7	Omniapiega
lavoraz.BC 379	0/30	6,5	31/100	4,2	101/500	3,59	501/1000	3,43	1001/3000	3,28	>3000	3,12	Omniapiega
wally bianco	150/299	8,09	300/9999	7,35		0		0		0		0	Piave Maitex
delavaggio H20+EUROFINISS		1,52		0		0		0		0		0	Pulipel
delave + spianatura+ strop.eurofiniss		2,26		0		0		0		0		0	Pulipell
delavag.ht stone + spianat. Eurof.		1,52		0		0		0		0		0	Pulipell
delave + spianatura		1,31		0		0		0		0		0	Pulipell
delavag.H20  + finiss. forte  Eurof.		1,52		0		0		0		0		0	Pulipell
J3	60	3,87	120/240	1,87	241/480	1,85	481	1,56					Sdc
OF3a	60	3,87	80/160	2,59	161/240	2,27	241/500	1,94	501	1,67			Sdc
J2	60	3,87	120/240	1,75	241/480	1,39	481	1,27					Sdc
OF3	60	3,87	80/160	2,95	161/240	2,56	241/600	1,88	601	1,46			Sdc
OF2	60	3,87	80/240	2,32	241/320	2,05	321/840	1,61	841/1000	1,45	1001	1,28	Sdc
J4	60	3,87	120/240	2,39	241/480	2,13	481	1,91					Sdc
OF1	60	3,87	120/240	2700	241/480	2400	481/1050	1950	1051	1800			Sdc
J1a	60	3,87	120/240	3650	241/480	2980	481	2780					Sdc
J1     fam 1000	60	3,87	120/240	1,23	241/480	1,16	481	0,98					Sdc
J4a	60	3,87	120/240	2,08	241/480	1,81	481	1,6					Sdc
J3 + termofisso	60	3,87	120/240	2,03	241/480	2,01	481	1,72					Sdc
j4 reattivi	60	3,87	120/240	2,61	241/480	2,35	481	2,01		0		0	Sdc
J4 purga	60	3,87	120/240	1,58	241/480	1,44	481	1,22		0		0	Sdc
J2 purga ottico	60	3,87	120/240	2700	241/480	2106	481	1944		0		0	Sdc
logos	60	3,87	80/160	5460	161/240	4782	241/500	4221	501	3834		0	Sdc
logos doppia tintura	60	3,87	80/160	7028	161/240	6002	241/500	5421	501	5034		0	Sdc
OF 2 scuri	60	3,87	80/240	3,08	241/320	2,8	321/840	2,37	841/1000	2,21			Sdc
J3 purga	60	3,87	120/240	1,58	241/480	1,44	481	1,22					Sdc
J4 matrix	60	3,87	120/240	2,93	241/480	2,67	481	2,45					Sdc
J4 matrix no purga	60	3,87	120/240	2,08	241/480	1,82	481	1,6		0		0	Sdc
fam. 3000 J purga	60	3,99	120/240	1,48	241/480	1,29	481/9999	1,05					Sdc
fam. 2500 J	60	3,99	120/240	2,1	241/480	1,88	481/9999	1,62					Sdc
fam. 1000 J	60	3,99	120/240	1,25	241/480	1,17	481/1050	0,99	1050/9999	0,98			Sdc
fam. 1000 OF	60	3,99	120/240	1,45	241/480	1,29	481/1050	1,06	1050/9999	0,95			Sdc
fam. 2000 J	60	3,99	120/240	1,79	241/480	1,42	481/1050	1,4	1050/9999	1,39			Sdc
fam. 2000 OF	60	3,99	120/240	2,35	241/480	2,06	481/1050	1,61	1050/9999	1,29			Sdc
fam. 2000 OF scuri	60	3,99	120/240	3,16	241/480	2,83	481/1050	2,41	1050/9999	2,08			Sdc
fam. 3500 OF	60	3,99	120/160	3,01	161/240	2,59	241/600	1,9	601/9999	1,49			Sdc
fam. 3500 J	60	3,99	120/240	1,91	241/480	1,87	481/9999	1,58					Sdc
fam. 3506 OF	60	3,99	120/160	2,65	161/240	2,31	241/500	1,96	501/1000	1,69			Sdc
fam. 4000 OF	60	3,99	120/240	1,99	241/480	1,8	481	1,5					Sdc
fam. 4000 J	60	3,99	120/240	1,99	241/480	1,87	481	1,6					Sdc
fam. 5000 J	60	3,99	120/240	2,45	241/480	2,17	481	1,93					Sdc
fam. 5002 J	60	3,99	120/240	2,14	241/480	1,83	481	1,62					Sdc
fam. 5000 J delave	60	3,99	120/240	2,7	241/480	2,42	481	2,18					Sdc
fam. 4000 J delave	60	3,99	120/240	2,52	241/480	2,42	481	2,15					Sdc
fam. 3506 OF bianco	60	3,99	120/160	1,5	161/240	1,38	241/500	1,16	501/1000	0,98			Sdc
fam. 6000 J	60	3,99	120/240	2,35	241/480	2,04	481/999	1,78					Sdc
vaporizzo		0,32		0		0		0		0		0	Sdc
fam. 3500 J termofisso	60	3,99	120/240	2,09	241/480	2,05	481/9999	1,76					Sdc
fam. 5000 J già purgato	60	3,99	120/240	2,14	241/480	1,86	481	1,62					Sdc
fam. 3500 J purga	60	3,99	120/240	1,62	241/480	1,47	481/9999	1,25					Sdc
fam. 3500 OF purga	60	3,99	120/160	1,15	161/240	1,06	241/600	0,82	601/9999	0,66			Sdc
fam. 3500 OF bianco ott.	60	3,99	120/160	1,5	161/240	1,38	241/600	1,17	601/9999	0,98			Sdc
fam. 1000 J ottico	60	3,99	120/240	1,05	241/480	0,97	481/1050	0,87	1050/9999	0,86			Sdc
fam. 8000 J	60	3,99	120/240	1,54	241/480	1,45	481/1050	1,23	1050/9999	1,21			Sdc
fam. 9000 J	60	3,99	120/240	1,57	241/480	1,47	481/1050	1,24	1050/9999	1,23			Sdc
fam. 3500 J ottico	60	3,99	120/240	1,62	241/480	1,47	481/9999	1,25					Sdc
fam. 2000 OF scuri double	60	7,98	120/240	6,32	241/480	5,66	481/1050	4,82	1050/9999	4,16			Sdc
fam. 7000 J reattivi	60	3,99	120/240	2,57	241/480	2,24	481	1,95		0			Sdc
panama city colorato	300/499	4,9		0		0		0		0		0	Sdc
fam. 9000 J Nasty	60/999	3,99		0		0		0		0			Sdc
fam. 9000 J Ortiz	60/999	3,99		0		0		0		0			Sdc
fam. 5000 J ottico	60	3,99	120/240	1,53	241/480	1,39	481	1,18					Sdc
fam. 3000 OF	120	3,99	121/240	2,59	241/480	2,27	481/9999	1,77					Sdc
fam. 2000 OF double	60	7,98	150/240	4,7	241/480	4,12	481/700	3,6	701/1050	3,22	1051/99999	2,58	Sdc
dis.1352V stmpa rotativa fondo bianco	camp.100 mt x var	7,18	300 x var.	5,8	600  x 2 var.	4,96	1200 x 3 var.	3,4	2000 x 4 var.	2,64		0	Stamperia Luce
st. transf. +loro carta	0/200	2,16	201/1000	2,06	1001	1,96		0		0		0	St'one
dis. 55568 var. 1/2/3/4	camp.	1,6	500/2	0,97	500/3	0,88	1000/1	0,85	1500/1	0,77		0	Sublitex
